,time_boot_ms,roll,pitch,yaw,Roll,Pitch,Yaw,Lat,Lon,vel,alt,time,nord,est,quota,NorthX,EastY
878,771.76,-0.0137639725580811,-0.0144012756645679,2.7933146953582764,500,5400,44500,482709890,373857216,1798,806.14,789.45,-861.0577680003149,721.4291035252285,660.7296147,21097.954981304003,-25933.714542251448
879,772.243,-0.0289665907621383,-0.0078951381146907,2.78987455368042,500,5400,44500,482709731,373858665,1794,805.86,789.96,-862.8245760004336,719.5911829456859,660.4529648,15129.377774219327,-18680.079092209206
880,772.72,-0.0210645459592342,-0.0068268068134784,2.79223108291626,500,5400,44400,482709617,373859634,1773,806.14,790.45,-864.0913440002356,718.3619395162613,660.7363149,-41775.639348625504,-44910.54888672983
881,773.2,-0.0039598876610398,-0.0068465396761894,2.7840914726257324,400,5400,44300,482709458,373861060,1784,806.99,790.95,-865.8581520003543,716.553166674792,661.589665,235.2727181398705,699.1345160576042
882,773.679,0.0043883328326046,-0.0046602040529251,2.7755143642425537,500,5400,44000,482709345,373862006,1758,807.58,791.46,-867.1138080000264,715.3530833134806,662.1830151,70420.72080488226,76114.09302600057
883,774.16,0.0028075990267097,-0.0092184208333492,2.7774219512939453,500,5400,43800,482709183,373863416,1758,808.05,791.96,-868.9139520005347,713.5645303995701,662.6563652,54090.02258660211,58429.291491998185
884,774.643,-0.0083664124831557,-0.0190693996846675,2.784090280532837,500,5400,43700,482709083,373864347,1737,808.0,792.46,-870.0251520000978,712.3837387893998,662.6097152,22461.2306902966,-28011.86681905278
885,775.12,-0.0151084596291184,-0.0271170549094676,2.790192127227783,400,5400,43300,482708937,373865745,1740,807.59,792.96,-871.6475040001075,710.6107524022032,662.2030653,-213.275222864538,-706.1382619250007
886,775.599,-0.0072680590674281,-0.0256090573966503,2.7932698726654053,500,5400,43300,482708828,373866676,1729,807.64,793.45,-872.8587120000498,709.4297842381926,662.2564153999999,19171.70789050335,-23582.41976509084
887,776.079,0.0034013385884463,-0.0221400298178195,2.7886297702789307,500,5400,43100,482708667,373868074,1737,807.64,793.95,-874.6477440004281,707.6565015760112,662.2597655,36939.94460464802,-45735.91151017474
888,776.561,0.0036216373555362,-0.0241296626627445,2.793640851974488,400,5400,43000,482708563,373869003,1739,807.51,794.45,-875.8033920005107,706.47819231014,662.1331156,623.0755936921269,209.2724848167638
889,777.042,-0.0042294906452298,-0.0225510783493518,2.801095724105835,400,5400,42700,482708420,373870402,1750,807.32,794.98,-877.3924080001308,704.7040585398379,661.9464657000001,233.4866315143422,692.2323941071844
890,777.522,-0.0158652327954769,-0.0178431048989295,2.796023368835449,500,5400,42500,482708330,373871330,1756,807.14,795.45,-878.3924879999745,703.5273332063083,661.7698157,17758.57697763968,-21744.897696616375
891,778.0,-0.0186445452272892,-0.0083929933607578,2.78774356842041,400,5400,42400,482708176,373872751,1764,807.24,795.95,-880.1037360002334,701.7251392357729,661.8731658,-620.9293448416541,-228.67309292636267
892,778.48,-0.0109547590836882,-0.0120044648647308,2.7849791049957275,500,5400,42100,482708085,373873693,1769,807.09,796.45,-881.114928000207,700.5306863854798,661.7265159000001,25807.42284095158,-32128.689655597886
893,778.962,0.0026470776647329,-0.0064002834260463,2.795292615890503,500,5400,40900,482707936,373875109,1787,807.44,796.95,-882.7706160006062,698.7349558395854,662.079866,209702.46682774232,-256917.6288678446
894,779.443,0.0047094929032027,-0.006214465945959,2.799821853637696,500,5400,38400,482707828,373876057,1798,807.48,797.45,-883.9707120004186,697.5325634587499,662.1232161,58768.711883312615,63046.32901643541
895,779.922,0.0010098656639456,-0.0027861520648002,2.7966227531433105,500,5400,35700,482707668,373877486,1768,807.79,797.97,-885.7486320006672,695.7201706204476,662.4365662,427001.6266907032,-522104.58616458636
896,780.399,-0.0093241240829229,0.0046990104019641,2.789454221725464,500,5400,33400,482707573,373878419,1739,808.04,798.46,-886.8042720003706,694.5370614674846,662.6899162,-44978.70324580857,-48406.35092988939
897,780.88,-0.006463217549026,0.0069949142634868,2.7953362464904785,500,5400,32500,482707427,373879813,1765,808.72,798.96,-888.4266240003802,692.7692992294744,663.3732663000001,719288.6463016357,-881120.5214658113
898,781.361,-0.0157161839306354,0.0135667789727449,2.7901928424835205,500,5400,32500,482707334,373880759,1796,809.36,799.45,-889.4600400006135,691.5697926109516,664.0166164,113950.63679639634,-140632.5277352641
899,781.843,-0.0183683671057224,0.0066600441932678,2.79270339012146,500,5400,32900,482707230,373882220,1869,810.23,799.95,-890.6156880006961,689.7181230015888,664.8899665,41767.56666281469,-51345.647352476706
900,782.322,0.000363752245903,0.0005969181656837,2.787850379943848,400,5400,33400,482707219,373883215,1859,810.42,800.45,-890.7379200005454,688.4583217792266,665.0833166,623.8900812878121,216.48684854895097
901,782.8,0.0014928302261978,-0.0044613741338253,2.7813217639923096,400,5400,33800,482707277,373884710,1874,810.77,800.95,-890.0934240001197,686.567013827912,665.4366666999999,622.9237323018699,219.4793014364246
902,783.28,-0.0069310581311583,-0.0078151188790798,2.782395362854004,500,5400,34000,482707368,373885719,1953,810.9,801.45,-889.0822320001462,685.2916170685133,665.5700168,1956019.9389814676,2109543.163858215
903,783.76,0.0083625204861164,-0.0121379345655441,2.789168119430542,400,5400,34000,482707609,373887282,2001,810.74,801.95,-886.4042400004331,683.3180197675778,665.4133668,-623.6778172865621,-212.79249339461467
904,784.242,-0.0050309365615248,-0.0144246332347393,2.78840446472168,400,5400,33900,482707815,373888275,1775,812.33,802.45,-884.1151680005277,682.0652434707026,667.0067169,238.6800267303032,702.0379682404576
905,784.721,-0.0204930864274501,-0.0152108706533908,2.788549900054932,500,5400,33700,482708124,373889653,1967,815.71,802.96,-880.6815600006695,680.3272011765911,670.390067,16520.735262069258,-20454.840727692725
906,785.199,-0.0197789184749126,-0.0243620537221431,2.788169860839844,400,5400,33600,482708418,373890650,2014,816.05,803.44,-877.4146320003905,679.0711416334992,670.7334171,-628.4807037711663,-235.85548925745294
907,785.679,-0.0219576023519039,-0.031357679516077,2.786094188690185,500,5400,33600,482708886,373892132,2021,816.88,803.96,-872.2142160004137,677.2046570361648,671.5667672,86946.21379736095,93616.48684770791
908,786.161,-0.0080494293943047,-0.034625981003046,2.787759780883789,400,5400,33500,482709225,373893121,2039,816.73,804.44,-868.4472480006076,675.9595938447555,671.4201173,251.74512765310612,701.3602100433144
909,786.643,0.0018781677354127,-0.026222426444292,2.7806384563446045,500,5400,33400,482709707,373894484,1735,818.53,804.96,-863.0912640003919,674.2439593365367,673.2234673,23834.560975060707,25722.786065990458
910,787.12,-0.0049019530415534,-0.018249575048685,2.7744786739349365,500,5400,33100,482709920,373895263,1731,823.47,805.44,-860.724408000367,673.2621138015415,678.1668174,27730.033435388872,-35121.29498370799
911,787.599,-0.0028596445918083,-0.0101653859019279,2.774232149124145,400,5400,33000,482710304,373896645,1994,825.77,805.96,-856.4574000002443,671.5203454515777,680.4701675,635.3486212240967,223.91193211365314
912,788.08,-0.0071437424048781,0.000956505537033,2.773439645767212,400,5400,32900,482710628,373897620,1969,825.41,806.44,-852.8571120000174,670.2925876650166,680.1135176,-245.15998629894696,-722.0087191769755
913,788.56,-0.0099861891940236,0.0053967498242855,2.7716550827026367,500,5400,32700,482711110,373899105,2040,824.18,806.96,-847.5011280005913,668.422337830397,678.8868676999999,92971.96532564604,-118230.05384934529
914,789.043,-0.0147300558164715,0.0002128630876541,2.775887489318848,500,5400,32500,482711419,373900077,1996,824.51,807.44,-844.0675199999436,667.1980126141143,679.2202178,36943.112167396095,-46646.72789056896
915,789.52,-0.000656506512314,0.001527089625597,2.773826360702514,400,5400,32600,482711897,373901574,1968,824.9,807.94,-838.7559840002473,665.3123979118204,679.6135677999999,634.0823017026033,227.9293285122385
916,790.0,-0.0191747955977916,-0.0016848258674144,2.777995347976685,500,5400,32400,482712230,373902590,2064,823.16,808.45,-835.0556880004308,664.0327908321273,677.8769179,-35639.41769731587,-38486.42698473489
917,790.48,-0.0028687822632491,-0.0052755437791347,2.7755370140075684,400,5400,32200,482712673,373904106,2009,822.18,808.95,-830.1330720005421,662.1223216005696,676.900268,632.1684705301832,223.19304431419695
918,790.96,0.0017105436418205,-0.0079985670745372,2.770855188369751,500,5400,31900,482712956,373905125,2010,821.79,809.45,-826.9883760001125,660.8378476156618,676.5136181,116241.14994004185,-148050.7839162042
919,791.443,-0.2031850814819336,0.0116821862757205,2.783047199249268,500,5400,31800,482713379,373906653,1998,820.69,809.95,-822.2880000004523,658.9116979511833,675.4169682,-2969.7078095182446,-3175.4253813206974
920,791.92,-0.378270149230957,0.0274347644299268,2.775217771530152,500,5400,31500,482713652,373907668,1990,820.18,810.45,-819.2544240005316,657.6320329050776,674.9103183,1834.9792648227344,-1964.5079797233052
921,792.399,-0.4482871890068054,0.0097540393471717,2.671208143234253,400,5400,31400,482714033,373909191,1953,819.46,810.95,-815.0207520000089,655.7112934494212,674.1936683,500.6684517498282,-51.72136432834362
922,792.88,-0.5186683535575867,-0.0058645904064178,2.546560287475586,500,5400,31200,482714274,373910191,1932,819.24,811.45,-812.3427600002958,654.4499313384663,673.9770184,-1243.442912289841,-1374.3149020033497
923,793.361,-0.5100523829460144,-0.0093610174953937,2.442480564117432,400,5400,30900,482714622,373911677,1906,819.01,811.95,-808.4757840001106,652.5753118228663,673.7503684999999,-356.8309913106221,-656.319133713458
924,793.843,-0.4733618795871734,-0.0197945348918437,2.320202112197876,500,5400,30700,482714824,373912673,1903,818.76,812.45,-806.2311600007246,651.3181956315614,673.5037186,59.06881519421552,-1475.0915220749778
925,794.48,-0.4244832992553711,-0.0129622854292392,2.1751251220703125,400,5400,30600,482715129,373914142,1864,818.75,812.95,-802.8420000005963,649.4641869143277,673.4970687,170.03614390447115,-35.72532164350462
926,794.96,-0.3791767656803131,-0.0088933706283569,2.078761577606201,500,5400,30400,482715327,373915128,1862,818.25,813.45,-800.6418240001506,648.2196152876121,673.0004188,-1521.3608497228122,-1854.7793968661713
927,795.443,-0.3113178014755249,-0.0004053637385368,2.000777006149292,500,5400,30400,482715616,373916590,1842,817.97,813.95,-797.4304560005208,646.3740980659907,672.7237688,-1804.5289564734198,-2198.582913892607
928,795.92,-0.2192377597093582,0.0104376226663589,1.9404242038726809,500,5400,30100,482715814,373917560,1852,817.74,814.45,-795.2302800000751,645.149748951742,672.4971189,-1899.8632237724985,-3001.1306629453247
929,796.399,-0.1545184105634689,0.0155470985919237,1.8957414627075195,500,5400,29900,482716101,373919023,1877,817.3,814.96,-792.0411360007051,643.302871809908,672.060469,-2792.3211134732205,-4085.174040122941
930,796.88,-0.0980219468474388,0.0215194020420312,1.873715043067932,500,5400,29700,482716302,373920006,1889,817.07,815.44,-789.8076240006594,642.062083375524,671.8338191,-4204.128208858421,-5941.907814008223
931,797.36,-0.0449325144290924,0.0208332203328609,1.864642143249512,400,5400,29600,482716615,373921491,1911,816.54,815.96,-786.3295680002818,640.1878004754259,671.3071692,-222.82768967341687,-208.68353257082356
932,797.843,-0.0106019722297787,0.0256616473197937,1.8475463390350344,500,5400,29400,482716826,373922490,1924,816.23,816.44,-783.9849360005167,638.9269075802569,671.0005193,-17566.643292757202,-20782.704810630752
933,798.322,-0.0130260875448584,0.0208495762199163,1.836917519569397,500,5400,29200,482717170,373924096,2003,814.13,816.96,-780.1624080000613,636.8999454511383,668.9038693,-18476.831514099915,-21784.543490117965
934,798.8,-0.001129426062107,0.0170262046158313,1.8465584516525269,400,5400,29100,482717399,373925152,2018,813.09,817.44,-777.6177600003274,635.5671795461641,667.8672194000001,650.3816492651902,821.8025780346112
935,799.28,0.024380087852478,0.0130845662206411,1.857559084892273,500,5400,29000,482717743,373926735,2040,811.46,817.96,-773.7952320006616,633.5692716878247,666.2405695,42064.68455514699,49911.53926427984
936,799.76,0.0428675934672355,0.0116859637200832,1.8585892915725708,500,5400,28800,482717967,373927767,1956,810.94,818.44,-771.3061439999979,632.2667545122646,665.7239196,16996.44098113283,20170.551702408506
937,800.243,0.0613627471029758,0.0045281127095222,1.880183815956116,400,5400,28800,482718275,373929261,1941,810.75,818.96,-767.8836480002695,630.380789868312,665.5372697,-166.98470691923822,-143.5485996554152
938,800.722,0.0773303732275962,-0.0032329186797142,1.8913437128067017,500,5400,28700,482718479,373930258,1937,810.85,819.44,-765.6168000006238,629.122168542872,665.6406198,5786.364579364098,8374.231100240579
939,801.2,0.0480315312743186,-0.002634473145008,1.905151605606079,500,5400,28600,482718779,373931751,1918,810.96,819.95,-762.2832000003552,627.2372585037193,665.7539698,11028.128402835742,13261.034346369184
940,801.679,0.0232067108154296,0.0028321370482444,1.9154835939407349,400,5400,28400,482718979,373932739,1876,811.11,820.45,-760.0608000004394,625.9899192210722,665.9073199,-212.39065261852807,-192.8588190556344
941,802.16,0.0181487388908863,0.0030497126281261,1.9246522188186648,500,5400,28100,482719266,373934218,1904,811.39,820.95,-756.8716560002798,624.1224339383549,666.19067,27077.063919174765,41259.748048953275
942,802.643,0.0510334856808185,0.0028165020048618,1.922862648963928,500,5400,27900,482719460,373935212,1903,811.52,821.45,-754.7159280003535,622.8673451470806,666.3240201,8920.433398550937,13554.852618269408
943,803.122,0.0191169772297143,0.0010497085750102,1.924251914024353,500,5400,27900,482719750,373936706,1889,811.54,821.97,-751.493448000594,620.9808660491041,666.3473702,23746.32943544339,36162.44194828152
944,803.599,0.009607195854187,-0.0035781152546405,1.943432331085205,400,5400,27700,482719947,373937686,1889,811.8,822.45,-749.3043840002781,619.743526154961,666.6107202999999,-623.3962232767002,-826.9192796109548
945,804.08,0.0299970917403697,-0.0032692588865756,1.9478565454483032,500,5400,27600,482720259,373939189,1928,811.79,822.94,-745.8374400000304,617.8460073687193,666.6040704,16806.327347972438,20393.808459875225
946,804.56,0.0109933391213417,-0.0050061754882335,1.9550279378890991,500,5400,27600,482720468,373940195,1935,811.84,823.44,-743.5150320005249,616.5759278862722,666.6574204000001,36304.46495970248,44111.02900716368
947,805.043,0.0154587477445602,-0.0047088526189327,1.9686124324798584,500,5400,27400,482720778,373941693,1977,811.83,823.96,-740.0703120005369,614.6846434609505,666.6507705,28327.100893510426,34497.63727592914
948,805.52,0.0229454450309276,-0.0016170926392078,1.969570994377136,500,5400,27100,482720986,373942681,1932,811.85,824.44,-737.7590160003717,613.4373007706832,666.6741206,16889.871817665015,27866.907223479728
949,806.0,0.0083542093634605,-0.001290526241064,1.9783371686935425,500,5400,26900,482721322,373944188,1949,811.58,824.96,-734.0253840001657,611.5350425682934,666.4074707,43535.78142863261,73044.73682722027
950,806.479,0.0227956362068653,0.0007207468152046,1.9884065389633176,500,5400,24200,482721548,373945186,1945,811.43,825.46,-731.5140720000318,610.2753289035236,666.2608207999999,24568.427742505915,30006.964785385084
951,806.96,0.0165838338434696,0.007081001996994,1.9925808906555176,500,5400,23400,482721893,373946685,1937,810.99,825.96,-727.6804320002361,608.3833039518572,665.8241709,50508.13072801041,61719.25872269638
952,807.443,0.0061520989984273,0.0112769156694412,2.000361442565918,500,5400,22200,482722123,373947680,1952,810.56,826.46,-725.1246720003724,607.1274198949757,665.3975208999999,-177350.5557449008,-216937.44368165528
